imdb,title,year
tt1431045,Deadpool,2016.0
tt2015381,Guardians of the Galaxy,2014.0
tt0468569,The Dark Knight,2008.0
tt1375666,Inception,2010.0
tt3315342,Logan,2017.0
tt0848228,The Avengers,2012.0
tt1211837,Doctor Strange,2016.0
tt0816692,Interstellar,2014.0
tt1386697,Suicide Squad,2016.0
tt0451279,Wonder Woman,2017.0
tt0133093,The Matrix,1999.0
tt3498820,Captain America: Civil War,2016.0
tt2543164,Arrival,2016.0
tt3896198,Guardians of the Galaxy Vol. 2,2017.0
tt0499549,Avatar,2009.0
tt2488496,Star Wars: The Force Awakens,2015.0
tt3521164,Moana,2016.0
tt2294629,Frozen,2013.0
tt0371746,Iron Man,2008.0
tt3659388,The Martian,2015.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0
tt3183660,Fantastic Beasts and Where to Find Them,2016.0
tt2250912,Spider-Man: Homecoming,2017.0
tt3748528,Rogue One: A Star Wars Story,2016.0
tt2948356,Zootopia,2016.0
tt0137523,Fight Club,1999.0
tt4425200,John Wick: Chapter 2,2017.0
tt1355644,Passengers,2016.0
tt4154756,Avengers: Infinity War,2018.0
tt1345836,The Dark Knight Rises,2012.0
tt0993846,The Wolf of Wall Street,2013.0
tt2911666,John Wick,2014.0
tt3501632,Thor: Ragnarok,2017.0
tt1392190,Mad Max: Fury Road,2015.0
tt2395427,Avengers: Age of Ultron,2015.0
tt0167260,The Lord of the Rings: The Return of the King,2003.0
tt2096673,Inside Out,2015.0
tt1853728,Django Unchained,2012.0
tt1843866,Captain America: The Winter Soldier,2014.0
tt2975590,Batman v Superman: Dawn of Justice,2016.0
tt0478970,Ant-Man,2015.0
tt0076759,Star Wars,1977.0
tt0167261,The Lord of the Rings: The Two Towers,2002.0
tt0266543,Finding Nemo,2003.0
tt0109830,Forrest Gump,1994.0
tt3385516,X-Men: Apocalypse,2016.0
tt2802144,Kingsman: The Secret Service,2014.0
tt0372784,Batman Begins,2005.0
tt0110912,Pulp Fiction,1994.0
tt0241527,Harry Potter and the Philosopher's Stone,2001.0
tt0369610,Jurassic World,2015.0
tt5052448,Get Out,2017.0
tt0110357,The Lion King,1994.0
tt0910970,WALL·E,2008.0
tt1049413,Up,2009.0
tt2709768,The Secret Life of Pets,2016.0
tt0111161,The Shawshank Redemption,1994.0
tt1825683,Black Panther,2018.0
tt1631867,Edge of Tomorrow,2014.0
tt1392170,The Hunger Games,2012.0
tt3890160,Baby Driver,2017.0
tt1300854,Iron Man 3,2013.0
tt0458339,Captain America: The First Avenger,2011.0
tt1228705,Iron Man 2,2010.0
tt0080684,The Empire Strikes Back,1980.0
tt0088763,Back to the Future,1985.0
tt0114709,Toy Story,1995.0
tt2245084,Big Hero 6,2014.0
tt2140479,The Accountant,2016.0
tt0198781,"Monsters, Inc.",2001.0
tt0317705,The Incredibles,2004.0
tt0903624,The Hobbit: An Unexpected Journey,2012.0
tt3731562,Kong: Skull Island,2017.0
tt0800369,Thor,2011.0
tt1323594,Despicable Me,2010.0
tt0295297,Harry Potter and the Chamber of Secrets,2002.0
tt2119532,Hacksaw Ridge,2016.0
tt1670345,Now You See Me,2013.0
tt2277860,Finding Dory,2016.0
tt0304141,Harry Potter and the Prisoner of Azkaban,2004.0
tt1663202,The Revenant,2015.0
tt5463162,Deadpool 2,2018.0
tt0361748,Inglourious Basterds,2009.0
tt4154796,Avengers: Endgame,2019.0
tt0086190,Return of the Jedi,1983.0
tt1877832,X-Men: Days of Future Past,2014.0
tt1951264,The Hunger Games: Catching Fire,2013.0
tt2771200,Beauty and the Beast,2017.0
tt1981115,Thor: The Dark World,2013.0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011.0
tt4972582,Split,2017.0
tt0330373,Harry Potter and the Goblet of Fire,2005.0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0
tt2283362,Jumanji: Welcome to the Jungle,2017.0
tt2267998,Gone Girl,2014.0
tt2527336,Star Wars: The Last Jedi,2017.0
tt2660888,Star Trek Beyond,2016.0
tt0373889,Harry Potter and the Order of the Phoenix,2007.0
tt0114369,Se7en,1995.0
tt0974015,Justice League,2017.0
tt1454468,Gravity,2013.0
tt0417741,Harry Potter and the Half-Blood Prince,2009.0
tt3874544,The Boss Baby,2017.0
tt0172495,Gladiator,2000.0
tt3470600,Sing,2016.0
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010.0
tt2084970,The Imitation Game,2014.0
tt1772341,Wreck-It Ralph,2012.0
tt1677720,Ready Player One,2018.0
tt0434409,V for Vendetta,2006.0
tt3110958,Now You See Me 2,2016.0
tt1170358,The Hobbit: The Desolation of Smaug,2013.0
tt0470752,Ex Machina,2015.0
tt0892769,How to Train Your Dragon,2010.0
tt0770828,Man of Steel,2013.0
tt0107290,Jurassic Park,1993.0
tt1219827,Ghost in the Shell,2017.0
tt0435761,Toy Story 3,2010.0
tt4196776,Jason Bourne,2016.0
tt7286456,Joker,2019.0
tt3460252,The Hateful Eight,2015.0
tt1130884,Shutter Island,2010.0
tt0816711,World War Z,2013.0
tt5013056,Dunkirk,2017.0
tt0120915,Star Wars: Episode I - The Phantom Menace,1999.0
tt2872732,Lucy,2014.0
tt4846340,Hidden Figures,2016.0
tt0382932,Ratatouille,2007.0
tt2345759,The Mummy,2017.0
tt4630562,The Fate of the Furious,2017.0
tt1690953,Despicable Me 2,2013.0
tt0126029,Shrek,2001.0
tt2404435,The Magnificent Seven,2016.0
tt1790864,The Maze Runner,2014.0
tt1119646,The Hangover,2009.0
tt4649466,Kingsman: The Golden Circle,2017.0
tt0398286,Tangled,2010.0
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005.0
tt0482571,The Prestige,2006.0
tt1489889,Central Intelligence,2016.0
tt1679335,Trolls,2016.0
tt2380307,Coco,2017.0
tt1396484,It,2017.0
tt0099785,Home Alone,1990.0
tt1856101,Blade Runner 2049,2017.0
tt3040964,The Jungle Book,2016.0
tt3393786,Jack Reacher: Never Go Back,2016.0
tt4154664,Captain Marvel,2019.0
tt1408101,Star Trek Into Darkness,2013.0
tt2293640,Minions,2015.0
tt0120338,Titanic,1997.0
tt1270798,X-Men: First Class,2011.0
tt0102926,The Silence of the Lambs,1991.0
tt1179933,10 Cloverfield Lane,2016.0
tt0948470,The Amazing Spider-Man,2012.0
tt1477834,Aquaman,2018.0
tt1663662,Pacific Rim,2013.0
tt1628841,Independence Day: Resurgence,2016.0
tt0796366,Star Trek,2009.0
tt2094766,Assassin's Creed,2016.0
tt1935859,Miss Peregrine's Home for Peculiar Children,2016.0
tt0068646,The Godfather,1972.0
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017.0
tt1490017,The Lego Movie,2014.0
tt2316204,Alien: Covenant,2017.0
tt0121765,Star Wars: Episode II - Attack of the Clones,2002.0
tt0266697,Kill Bill: Vol. 1,2003.0
tt1270797,Venom,2018.0
tt0083658,Blade Runner,1982.0
tt0095016,Die Hard,1988.0
tt0317219,Cars,2006.0
tt0120363,Toy Story 2,1999.0
tt1727824,Bohemian Rhapsody,2018.0
tt0120689,The Green Mile,1999.0
tt1156398,Zombieland,2009.0
tt1840309,Divergent,2014.0
tt0078748,Alien,1979.0
tt0988045,Sherlock Holmes,2009.0
tt5095030,Ant-Man and the Wasp,2018.0
tt1217209,Brave,2012.0
tt0416449,300,2007.0
tt1289401,Ghostbusters,2016.0
tt3450958,War for the Planet of the Apes,2017.0
tt0120815,Saving Private Ryan,1998.0
tt0407887,The Departed,2006.0
tt1959563,The Hitman's Bodyguard,2017.0
tt3783958,La La Land,2016.0
tt0103639,Aladdin,1992.0
tt0209144,Memento,2000.0
tt3263904,Sully,2016.0
tt3397884,Sicario,2015.0
tt1074638,Skyfall,2012.0
tt4651520,Bad Moms,2016.0
tt0082971,Raiders of the Lost Ark,1981.0
tt2310332,The Hobbit: The Battle of the Five Armies,2014.0
tt0803096,Warcraft,2016.0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014.0
tt5442430,Life,2017.0
tt0103064,Terminator 2: Judgment Day,1991.0
tt2034800,The Great Wall,2016.0
tt0110413,Léon: The Professional,1994.0
tt1446714,Prometheus,2012.0
tt0096874,Back to the Future Part II,1989.0
tt4633694,Spider-Man: Into the Spider-Verse,2018.0
tt3799694,The Nice Guys,2016.0
tt0119116,The Fifth Element,1997.0
tt0258463,The Bourne Identity,2002.0
tt3062096,Inferno,2016.0
tt2278388,The Grand Budapest Hotel,2014.0
tt1951266,The Hunger Games: Mockingjay - Part 2,2015.0
tt0264464,Catch Me If You Can,2002.0
tt0120382,The Truman Show,1998.0
tt0234215,The Matrix Reloaded,2003.0
tt0119654,Men in Black,1997.0
tt0480249,I Am Legend,2007.0
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006.0
tt2005151,War Dogs,2016.0
tt2379713,Spectre,2015.0
tt1453405,Monsters University,2013.0
tt1972591,King Arthur: Legend of the Sword,2017.0
tt3469046,Despicable Me 3,2017.0
tt0918940,The Legend of Tarzan,2016.0
tt2582802,Whiplash,2014.0
tt1798709,Her,2013.0
tt1587310,Maleficent,2014.0
tt2103281,Dawn of the Planet of the Apes,2014.0
tt5580390,The Shape of Water,2017.0
tt1700841,Sausage Party,2016.0
tt0101414,Beauty and the Beast,1991.0
tt1483013,Oblivion,2013.0
tt1250777,Kick-Ass,2010.0
tt0120903,X-Men,2000.0
tt1469304,Baywatch,2017.0
tt1860357,Deepwater Horizon,2016.0
tt1276104,Looper,2012.0
tt1637725,Ted,2012.0
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017.0
tt4881806,Jurassic World: Fallen Kingdom,2018.0
tt0145487,Spider-Man,2002.0
tt1872181,The Amazing Spider-Man 2,2014.0
tt6644200,A Quiet Place,2018.0
tt6320628,Spider-Man: Far from Home,2019.0
tt0120586,American History X,1998.0
tt0088247,The Terminator,1984.0
tt3606756,Incredibles 2,2018.0
tt4116284,The Lego Batman Movie,2017.0
tt1219289,Limitless,2011.0
tt0081505,The Shining,1980.0
tt1675434,The Intouchables,2011.0
tt1430132,The Wolverine,2013.0
tt0409459,Watchmen,2009.0
tt0240772,Ocean's Eleven,2001.0
tt2381249,Mission: Impossible - Rogue Nation,2015.0
tt3371366,Transformers: The Last Knight,2017.0
tt0449088,Pirates of the Caribbean: At World's End,2007.0
tt0167404,The Sixth Sense,1999.0
tt2239822,Valerian and the City of a Thousand Planets,2017.0
tt0418279,Transformers,2007.0
tt1318514,Rise of the Planet of the Apes,2011.0
tt3631112,The Girl on the Train,2016.0
tt3300542,London Has Fallen,2016.0
tt1285016,The Social Network,2010.0
tt1232829,21 Jump Street,2012.0
tt2179136,American Sniper,2014.0
tt1535108,Elysium,2013.0
tt0343818,"I, Robot",2004.0
tt0455944,The Equalizer,2014.0
tt2820852,Furious 7,2015.0
tt0268380,Ice Age,2002.0
tt1365519,Tomb Raider,2018.0
tt1646971,How to Train Your Dragon 2,2014.0
tt0245429,Spirited Away,2001.0
tt4912910,Mission: Impossible - Fallout,2018.0
tt0108052,Schindler's List,1993.0
tt0087332,Ghostbusters,1984.0
tt0097576,Indiana Jones and the Last Crusade,1989.0
tt0338013,Eternal Sunshine of the Spotless Mind,2004.0
tt2406566,Atomic Blonde,2017.0
tt4046784,Maze Runner: The Scorch Trials,2015.0
tt4501244,Why Him?,2016.0
tt1045658,Silver Linings Playbook,2012.0
tt1136608,District 9,2009.0
tt0119217,Good Will Hunting,1997.0
tt0381061,Casino Royale,2006.0
tt0440963,The Bourne Ultimatum,2007.0
tt0378194,Kill Bill: Vol. 2,2004.0
tt0169547,American Beauty,1999.0
tt0105236,Reservoir Dogs,1992.0
tt1293847,xXx: Return of Xander Cage,2017.0
tt0246578,Donnie Darko,2001.0
tt0242653,The Matrix Revolutions,2003.0
tt0114814,The Usual Suspects,1995.0
tt1340138,Terminator Genisys,2015.0
tt0090605,Aliens,1986.0
tt2713180,Fury,2014.0
tt0118715,The Big Lebowski,1998.0
tt0112573,Braveheart,1995.0
tt0800080,The Incredible Hulk,2008.0
tt0458525,X-Men Origins: Wolverine,2009.0
tt6146586,John Wick: Chapter 3 - Parabellum,2019.0
tt0936501,Taken,2008.0
tt3778644,Solo: A Star Wars Story,2018.0
tt0268978,A Beautiful Mind,2001.0
tt1596363,The Big Short,2015.0
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011.0
tt0116629,Independence Day,1996.0
tt0365748,Shaun of the Dead,2004.0
tt2674426,Me Before You,2016.0
tt0099685,GoodFellas,1990.0
tt0099088,Back to the Future Part III,1990.0
tt1648190,The Dark Tower,2017.0
tt0448115,Shazam!,2019.0
tt0372183,The Bourne Supremacy,2004.0
tt0454876,Life of Pi,2012.0
tt0316654,Spider-Man 2,2004.0
tt2798920,Annihilation,2018.0
tt0298148,Shrek 2,2004.0
tt0947798,Black Swan,2010.0
tt3717490,Power Rangers,2017.0
tt0441773,Kung Fu Panda,2008.0
tt2024544,12 Years a Slave,2013.0
tt1515091,Sherlock Holmes: A Game of Shadows,2011.0
tt0446029,Scott Pilgrim vs. the World,2010.0
tt0290334,X2,2003.0
tt1392214,Prisoners,2013.0
tt4160708,Don't Breathe,2016.0
tt0208092,Snatch,2000.0
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014.0
tt3774114,Snowden,2016.0
tt1723121,We're the Millers,2013.0
tt1895587,Spotlight,2015.0
tt0831387,Godzilla,2014.0
tt0780504,Drive,2011.0
tt3170832,Room,2015.0
tt0437086,Alita: Battle Angel,2019.0
tt1457767,The Conjuring,2013.0
tt2582782,Hell or High Water,2016.0
tt1985949,The Angry Birds Movie,2016.0
tt2294449,22 Jump Street,2014.0
tt3532216,American Made,2017.0
tt3717252,Underworld: Blood Wars,2016.0
tt0790724,Jack Reacher,2012.0
tt1517451,A Star Is Born,2018.0
tt3741834,Lion,2016.0
tt1485796,The Greatest Showman,2017.0
tt4624424,Storks,2016.0
tt3522806,Mechanic: Resurrection,2016.0
tt3076658,Creed,2015.0
tt2872718,Nightcrawler,2014.0
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018.0
tt0181689,Minority Report,2002.0
tt0071562,The Godfather: Part II,1974.0
tt3682448,Bridge of Spies,2015.0
tt3402236,Murder on the Orient Express,2017.0
tt0376994,X-Men: The Last Stand,2006.0
tt2361509,The Intern,2015.0
tt0107688,The Nightmare Before Christmas,1993.0
tt1409024,Men in Black 3,2012.0
tt1638355,The Man from U.N.C.L.E.,2015.0
tt2109248,Transformers: Age of Extinction,2014.0
tt3065204,The Conjuring 2,2016.0
tt0945513,Source Code,2011.0
tt1981677,Pitch Perfect,2012.0
tt1014759,Alice in Wonderland,2010.0
tt3410834,Allegiant,2016.0
tt1205489,Gran Torino,2008.0
tt2908446,Insurgent,2015.0
tt4550098,Nocturnal Animals,2016.0
tt1637688,In Time,2011.0
tt0477348,No Country for Old Men,2007.0
tt0401792,Sin City,2005.0
tt1024648,Argo,2012.0
tt2387499,Keeping Up with the Joneses,2016.0
tt4465564,Fifty Shades Darker,2017.0
tt4276820,The Founder,2016.0
tt2704998,Game Night,2018.0
tt4975722,Moonlight,2016.0
tt0104431,Home Alone 2: Lost in New York,1992.0
tt1104001,TRON: Legacy,2010.0
tt2267968,Kung Fu Panda 3,2016.0
tt1229238,Mission: Impossible - Ghost Protocol,2011.0
tt1706620,Snowpiercer,2013.0
tt2980516,The Theory of Everything,2014.0
tt4052882,The Shallows,2016.0
tt2304933,The 5th Wave,2016.0
tt2126355,San Andreas,2015.0
tt0107048,Groundhog Day,1993.0
tt0120623,A Bug's Life,1998.0
tt1535109,Captain Phillips,2013.0
tt1731141,Ender's Game,2013.0
tt0413300,Spider-Man 3,2007.0
tt0351283,Madagascar,2005.0
tt0217869,Unbreakable,2000.0
tt1979388,The Good Dinosaur,2015.0
tt1905041,Fast & Furious 6,2013.0
tt2592614,Resident Evil: The Final Chapter,2016.0
tt0425112,Hot Fuzz,2007.0
tt0113497,Jumanji,1995.0
tt1711525,Office Christmas Party,2016.0
tt0367594,Charlie and the Chocolate Factory,2005.0
tt1823672,Chappie,2015.0
tt0097757,The Little Mermaid,1989.0
tt2737304,Bird Box,2018.0
tt0837562,Hotel Transylvania,2012.0
tt1964418,Tomorrowland,2015.0
tt6966692,Green Book,2018.0
tt0093058,Full Metal Jacket,1987.0
tt0114746,Twelve Monkeys,1995.0
tt1411697,The Hangover Part II,2011.0
tt2404233,Gods of Egypt,2016.0
tt0117951,Trainspotting,1996.0
tt3079380,Spy,2015.0
tt6751668,Parasite,2019.0
tt0289879,The Butterfly Effect,2004.0
tt1659337,The Perks of Being a Wallflower,2012.0
tt5362988,Wind River,2017.0
tt1860213,Dirty Grandpa,2016.0
tt5164214,Ocean's Eight,2018.0
tt2568862,Going in Style,2017.0
tt0211915,Amélie,2001.0
tt1343092,The Great Gatsby,2013.0
tt6139732,Aladdin,2019.0
tt7131622,Once Upon a Time… in Hollywood,2019.0
tt4302938,Kubo and the Two Strings,2016.0
tt5519340,Bright,2017.0
tt0087469,Indiana Jones and the Temple of Doom,1984.0
tt2120120,Pixels,2015.0
tt3531824,Nerve,2016.0
tt4481414,Gifted,2017.0
tt2510894,Hotel Transylvania 2,2015.0
tt0086250,Scarface,1983.0
tt0421715,The Curious Case of Benjamin Button,2008.0
tt4172430,13 Hours: The Secret Soldiers of Benghazi,2016.0
tt0457430,Pan's Labyrinth,2006.0
tt2231461,Rampage,2018.0
tt6823368,Glass,2019.0
tt1010048,Slumdog Millionaire,2008.0
tt4438848,Neighbors 2: Sorority Rising,2016.0
tt0083866,E.T. the Extra-Terrestrial,1982.0
tt0448157,Hancock,2008.0
tt0356910,Mr. & Mrs. Smith,2005.0
tt2322441,Fifty Shades of Grey,2015.0
tt1399103,Transformers: Dark of the Moon,2011.0
tt2873282,Red Sparrow,2018.0
tt0099487,Edward Scissorhands,1990.0
tt1216475,Cars 2,2011.0
tt0790636,Dallas Buyers Club,2013.0
tt1981128,Geostorm,2017.0
tt1190080,2012,2009.0
tt0232500,The Fast and the Furious,2001.0
tt1245492,This Is the End,2013.0
tt0066921,A Clockwork Orange,1971.0
tt1245526,RED,2010.0
tt0120762,Mulan,1998.0
tt3606752,Cars 3,2017.0
tt0180093,Requiem for a Dream,2000.0
tt0493405,CHiPS,2017.0
tt1259521,The Cabin in the Woods,2012.0
tt0062622,2001: A Space Odyssey,1968.0
tt2194499,About Time,2013.0
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016.0
tt3553976,Captain Fantastic,2016.0
tt0359950,The Secret Life of Walter Mitty,2013.0
tt1596343,Fast Five,2011.0
tt1022603,(500) Days of Summer,2009.0
tt1234721,RoboCop,2014.0
tt0319343,Elf,2003.0
tt0120912,Men in Black II,2002.0
tt1979320,Rush,2013.0
tt1528854,Daddy's Home,2015.0
tt0120616,The Mummy,1999.0
tt1055369,Transformers: Revenge of the Fallen,2009.0
tt2381991,The Huntsman: Winter's War,2016.0
tt0162222,Cast Away,2000.0
tt3766354,The Equalizer 2,2018.0
tt0481499,The Croods,2013.0
tt1800241,American Hustle,2013.0
tt0110475,The Mask,1994.0
tt1568346,The Girl with the Dragon Tattoo,2011.0
tt1504320,The King's Speech,2010.0
tt0382625,The Da Vinci Code,2006.0
tt2397535,Predestination,2014.0
tt4701182,Bumblebee,2018.0
tt2582846,The Fault in Our Stars,2014.0
tt0462538,The Simpsons Movie,2007.0
tt4572514,Patriots Day,2016.0
tt4500922,Maze Runner: The Death Cure,2018.0
tt0360486,Constantine,2005.0
tt2461150,Masterminds,2016.0
tt4682786,Collateral Beauty,2016.0
tt0116282,Fargo,1996.0
tt2567026,Alice Through the Looking Glass,2016.0
tt4094724,The Purge: Election Year,2016.0
tt0117060,Mission: Impossible,1996.0
tt0144084,American Psycho,2000.0
tt1182345,Moon,2009.0
tt3401882,Fist Fight,2017.0
tt2823054,Mike and Dave Need Wedding Dates,2016.0
tt1650554,Kick-Ass 2,2013.0
tt0829482,Superbad,2007.0
tt0088847,The Breakfast Club,1985.0
tt3416828,Ice Age: Collision Course,2016.0
tt6499752,Upgrade,2018.0
tt5848272,Ralph Breaks the Internet,2018.0
tt1617661,Jupiter Ascending,2015.0
tt0319262,The Day After Tomorrow,2004.0
tt0758758,Into the Wild,2007.0
tt2004420,Neighbors,2014.0
tt0443706,Zodiac,2007.0
tt1753383,A Dog's Purpose,2017.0
tt1253863,300: Rise of an Empire,2014.0
tt1099212,Twilight,2008.0
tt1001526,Megamind,2010.0
tt0089218,The Goonies,1985.0
tt1502712,Fantastic Four,2015.0
tt2381941,Focus,2015.0
tt2557478,Pacific Rim: Uprising,2018.0
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0
tt4034228,Manchester by the Sea,2016.0
tt0289043,28 Days Later,2002.0
tt0433035,Real Steel,2011.0
tt6565702,Dark Phoenix,2019.0
tt1951261,The Hangover Part III,2013.0
tt0315327,Bruce Almighty,2003.0
tt1570728,"Crazy, Stupid, Love.",2011.0
tt1499658,Horrible Bosses,2011.0
tt4779682,The Meg,2018.0
tt0119567,The Lost World: Jurassic Park,1997.0
tt1343727,Dredd,2012.0
tt0379786,Serenity,2005.0
tt0112864,Die Hard: With a Vengeance,1995.0
tt3691740,The BFG,2016.0
tt2209764,Transcendence,2014.0
tt4287320,The Circle,2017.0
tt0397892,Bolt,2008.0
tt1291150,Teenage Mutant Ninja Turtles,2014.0
tt1536537,What Happened to Monday,2017.0
tt1371111,Cloud Atlas,2012.0
tt0120667,Fantastic Four,2005.0
tt2848292,Pitch Perfect 2,2015.0
tt3289956,The Autopsy of Jane Doe,2016.0
tt0206634,Children of Men,2006.0
tt1282140,Easy A,2010.0
tt6806448,Fast & Furious Presents: Hobbs & Shaw,2019.0
tt2788710,The Interview,2014.0
tt0071853,Monty Python and the Holy Grail,1975.0
tt0314331,Love Actually,2003.0
tt1037705,The Book of Eli,2010.0
tt2184339,The Purge,2013.0
tt0944835,Salt,2010.0
tt2241351,Money Monster,2016.0
tt0120611,Blade,1998.0
tt0454921,The Pursuit of Happyness,2006.0
tt6105098,The Lion King,2019.0
tt1618442,The Last Witch Hunter,2015.0
tt1133985,Green Lantern,2011.0
tt0093773,Predator,1987.0
tt1398426,Straight Outta Compton,2015.0
tt0073486,One Flew Over the Cuckoo's Nest,1975.0
tt1194173,The Bourne Legacy,2012.0
tt2302755,Olympus Has Fallen,2013.0
tt0099423,Die Hard 2,1990.0
tt0387564,Saw,2004.0
tt0830515,Quantum of Solace,2008.0
tt3640424,Allied,2016.0
tt1320253,The Expendables,2010.0
tt0120591,Armageddon,1998.0
tt5884052,Pokémon Detective Pikachu,2019.0
tt0075314,Taxi Driver,1976.0
tt1386703,Total Recall,2012.0
tt2072233,Sleepless,2017.0
tt2637276,Ted 2,2015.0
tt1979376,Toy Story 4,2019.0
tt0073195,Jaws,1975.0
tt7349662,BlacKkKlansman,2018.0
tt2543472,Wonder,2017.0
tt1013752,Fast & Furious,2009.0
tt0120804,Resident Evil,2002.0
tt0093779,The Princess Bride,1987.0
tt0163651,American Pie,1999.0
tt2224026,Home,2015.0
tt0332280,The Notebook,2004.0
tt0844471,Cloudy with a Chance of Meatballs,2009.0
tt0347149,Howl's Moving Castle,2004.0
tt0458352,The Devil Wears Prada,2006.0
tt1650062,Super 8,2011.0
tt2283336,Men in Black: International,2019.0
tt8946378,Knives Out,2019.0
tt0322259,2 Fast 2 Furious,2003.0
tt1590193,The Commuter,2018.0
tt0253474,The Pianist,2002.0
tt2024469,Non-Stop,2014.0
tt5758778,Skyscraper,2018.0
tt0467406,Juno,2007.0
tt0450259,Blood Diamond,2006.0
tt1211956,Escape Plan,2013.0
tt0096283,My Neighbor Totoro,1988.0
tt0477347,Night at the Museum,2006.0
tt0332452,Troy,2004.0
tt1661199,Cinderella,2015.0
tt1080016,Ice Age: Dawn of the Dinosaurs,2009.0
tt1436562,Rio,2011.0
tt0113277,Heat,1995.0
tt0413267,Shrek the Third,2007.0
tt1389072,Downsizing,2017.0
tt0362227,The Terminal,2004.0
tt1302011,Kung Fu Panda 2,2011.0
tt1571234,Mortal Engines,2018.0
tt4925292,Lady Bird,2017.0
tt0364569,Oldboy,2003.0
tt1213663,The World's End,2013.0
tt5580036,"I, Tonya",2017.0
tt1454029,The Help,2011.0
tt0320691,Underworld,2003.0
tt0349903,Ocean's Twelve,2004.0
tt0170016,How the Grinch Stole Christmas,2000.0
tt3014866,Criminal,2016.0
tt0317248,City of God,2002.0
tt0091042,Ferris Bueller's Day Off,1986.0
tt0167190,Hellboy,2004.0
tt1060277,Cloverfield,2008.0
tt0493464,Wanted,2008.0
tt1632708,Friends with Benefits,2011.0
tt0829150,Dracula Untold,2014.0
tt0337978,Live Free or Die Hard,2007.0
tt0338348,The Polar Express,2004.0
tt1961175,American Assassin,2017.0
tt0118799,Life Is Beautiful,1997.0
tt0097165,Dead Poets Society,1989.0
tt0368891,National Treasure,2004.0
