"imdb","trakt_id","watched_at","title","year","slug"
"tt0335266","118","2020-03-10T19:09:00.000Z","b'Lost in Translation'","2003","lost-in-translation-2003"
"tt3315342","161972","2020-03-09T20:25:00.000Z","b'Logan'","2017","logan-2017"
"tt0305357","4757","2020-03-08T20:08:21.000Z","b""Charlie's Angels: Full Throttle""","2003","charlie-s-angels-full-throttle-2003"
"tt0160127","2541","2020-03-08T20:08:12.000Z","b""Charlie's Angels""","2000","charlie-s-angels-2000"
"tt3907584","221327","2020-03-08T19:59:00.000Z","b'All the Bright Places'","2020","all-the-bright-places-2020"
"tt5770864","260312","2020-03-08T17:18:00.000Z","b'The Man from Earth: Holocene'","2017","the-man-from-earth-holocene-2017"
"tt0756683","7848","2020-03-08T15:46:00.000Z","b'The Man from Earth'","2007","the-man-from-earth-2007"
"tt0360486","442","2020-03-07T19:08:00.000Z","b'Constantine'","2005","constantine-2005"
"tt8772262","382491","2020-03-07T13:00:00.000Z","b'Midsommar'","2019","midsommar-2019"
"tt3472226","152524","2020-03-06T22:10:00.000Z","b'Kung Fury'","2015","kung-fury-2015"
"tt3986820","273954","2020-03-04T20:29:00.000Z","b'The Endless'","2018","the-endless-2018"
"tt1650062","24185","2020-03-04T15:54:00.000Z","b'Super 8'","2011","super-8-2011"
"tt5726086","250712","2020-03-03T17:35:00.000Z","b'Insidious: The Last Key'","2018","insidious-the-last-key-2018"
"tt3195644","177585","2020-03-02T18:58:00.000Z","b'Insidious: Chapter 3'","2015","insidious-chapter-3-2015"
"tt2226417","67889","2020-03-01T19:10:00.000Z","b'Insidious: Chapter 2'","2013","insidious-chapter-2-2013"
"tt1591095","34068","2020-03-01T16:23:00.000Z","b'Insidious'","2010","insidious-2010"
"tt4361050","216569","2020-03-01T12:57:00.000Z","b'Ouija: Origin of Evil'","2016","ouija-origin-of-evil-2016"
"tt0130018","2306","2020-03-01T12:54:29.000Z","b'I Still Know What You Did Last Summer'","1998","i-still-know-what-you-did-last-summer-1998"
"tt0435651","138918","2020-02-29T15:52:00.000Z","b'The Giver'","2014","the-giver-2014"
"tt3118452","216627","2020-02-29T13:02:00.000Z","b'Circle'","2015","circle-2015"
"tt4530422","312112","2020-02-26T19:47:00.000Z","b'Overlord'","2018","overlord-2018"
"tt5442430","238825","2020-02-25T20:18:27.000Z","b'Life'","2017","life-2017"
"tt3717252","222674","2020-02-24T20:25:37.000Z","b'Underworld: Blood Wars'","2016","underworld-blood-wars-2016"
"tt0103639","655","2020-02-23T22:08:44.000Z","b'Aladdin'","1992","aladdin-1992"
