certification,country,duration,genres,ids,language,overview,rating,released,tagline,title,votes,watched_at,year
R,us,102.0,"['drama', 'romance', 'comedy']","{'trakt': 118, 'slug': 'lost-in-translation-2003', 'imdb': 'tt0335266', 'tmdb': 153}",en,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",7.68716,2003-09-18,Everyone wants to be found.,Lost in Translation,7189.0,2020-03-10T19:09:00.000Z,2003.0
R,us,137.0,"['action', 'science-fiction', 'drama', 'superhero']","{'trakt': 161972, 'slug': 'logan-2017', 'imdb': 'tt3315342', 'tmdb': 263115}",en,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",7.98986,2017-03-03,His time has come,Logan,54447.0,2020-03-09T20:25:00.000Z,2017.0
PG-13,us,106.0,"['action', 'adventure', 'comedy']","{'trakt': 4757, 'slug': 'charlie-s-angels-full-throttle-2003', 'imdb': 'tt0305357', 'tmdb': 9471}",en,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",5.80007,2003-06-27,This summer the Angels are back.,Charlie's Angels: Full Throttle,2811.0,2020-03-08T20:08:21.000Z,2003.0
PG-13,us,98.0,"['action', 'adventure', 'comedy', 'crime', 'thriller']","{'trakt': 2541, 'slug': 'charlie-s-angels-2000', 'imdb': 'tt0160127', 'tmdb': 4327}",en,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",6.12826,2000-11-02,Get Some Action,Charlie's Angels,4288.0,2020-03-08T20:08:12.000Z,2000.0
,us,108.0,"['drama', 'romance']","{'trakt': 221327, 'slug': 'all-the-bright-places-2020', 'imdb': 'tt3907584', 'tmdb': 342470}",en,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,7.0495,2020-02-28,Live life at full brightness,All the Bright Places,404.0,2020-03-08T19:59:00.000Z,2020.0
PG-13,us,98.0,"['science-fiction', 'drama']","{'trakt': 260312, 'slug': 'the-man-from-earth-holocene-2017', 'imdb': 'tt5770864', 'tmdb': 415312}",en,"14,000 year-old ""Man from Earth"" John Oldman, now teaching in northern California, realizes that not only is he finally starting to age, but four students have discovered his deepest secret, putting his life in grave danger and potentially destroying the world's most popular religion.",6.29698,2017-06-10,One must pay dearly for immortality,The Man from Earth: Holocene,596.0,2020-03-08T17:18:00.000Z,2017.0
PG-13,us,87.0,"['drama', 'science-fiction']","{'trakt': 7848, 'slug': 'the-man-from-earth-2007', 'imdb': 'tt0756683', 'tmdb': 13363}",en,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",7.97536,2007-06-10,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,The Man from Earth,4018.0,2020-03-08T15:46:00.000Z,2007.0
R,us,121.0,"['fantasy', 'horror', 'drama', 'superhero']","{'trakt': 442, 'slug': 'constantine-2005', 'imdb': 'tt0360486', 'tmdb': 561}",en,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",7.46659,2005-02-18,"Hell Wants Him, Heaven Won't Take Him, Earth Needs Him.",Constantine,10834.0,2020-03-07T19:08:00.000Z,2005.0
R,us,148.0,"['horror', 'drama', 'mystery']","{'trakt': 382491, 'slug': 'midsommar-2019', 'imdb': 'tt8772262', 'tmdb': 530385}",en,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",6.96644,2019-07-03,Let the festivities begin.,Midsommar,4500.0,2020-03-07T13:00:00.000Z,2019.0
,se,31.0,"['action', 'comedy', 'fantasy', 'science-fiction', 'short']","{'trakt': 152524, 'slug': 'kung-fury-2015', 'imdb': 'tt3472226', 'tmdb': 251516}",en,"During an unfortunate series of events, a friend of Kung Fury is assassinated by the most dangerous kung fu master criminal of all time, Adolf Hitler, a.k.a Kung Führer.  Kung Fury decides to travel back in time to Nazi Germany in order to kill Hitler and end the Nazi empire once and for all.",7.85014,2015-05-22,It takes a cop from the future to fight an enemy from the past.,Kung Fury,2916.0,2020-03-06T22:10:00.000Z,2015.0
